ID,EXPECTED,ACTUAL,MATCH,CONFIDENCE
cb_497b51ec_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.956985
cb_497b51ec_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.990325
cb_497b51ec_E3_paraphrase_bare,ENTAILED,ENTAILED,MATCH,0.992044
cb_497b51ec_E4_paraphrase_attributed,ENTAILED,ENTAILED,MATCH,0.996283
cb_497b51ec_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.999094
cb_497b51ec_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.998757
cb_497b51ec_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.983039
cb_497b51ec_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.997458
cb_f2026f4b_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.985339
cb_f2026f4b_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.996981
cb_f2026f4b_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.997605
cb_f2026f4b_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.997574
cb_f2026f4b_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.660459
cb_f2026f4b_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.997604
cb_d2b7394a_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.990093
cb_d2b7394a_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.997472
cb_d2b7394a_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.998073
cb_d2b7394a_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.998993
cb_d2b7394a_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.827427
cb_d2b7394a_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.996836
cb_15102f54_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.994341
cb_15102f54_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.997659
cb_15102f54_E3_paraphrase_bare,ENTAILED,ENTAILED,MATCH,0.996184
cb_15102f54_E4_paraphrase_attributed,ENTAILED,ENTAILED,MATCH,0.998011
cb_15102f54_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.997273
cb_15102f54_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.997278
cb_15102f54_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.535705
cb_15102f54_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.997864
cb_222c0184_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.990802
cb_222c0184_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.997186
cb_222c0184_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.997801
cb_222c0184_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.998901
cb_222c0184_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.930863
cb_222c0184_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.998819
cb_31e5374d_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.984846
cb_31e5374d_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.996625
cb_31e5374d_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.997628
cb_31e5374d_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.997659
cb_31e5374d_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.632428
cb_31e5374d_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.998063
cb_80660a18_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.984160
cb_80660a18_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.994557
cb_80660a18_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.997147
cb_80660a18_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.998270
cb_80660a18_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.814683
cb_80660a18_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.994080
cb_d7f301fb_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.977915
cb_d7f301fb_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.993800
cb_d7f301fb_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.997792
cb_d7f301fb_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.998588
cb_d7f301fb_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.983679
cb_d7f301fb_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.997684
cb_f77f0d5b_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.983676
cb_f77f0d5b_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.994587
cb_f77f0d5b_E3_paraphrase_bare,ENTAILED,ENTAILED,MATCH,0.992728
cb_f77f0d5b_E4_paraphrase_attributed,ENTAILED,ENTAILED,MATCH,0.993168
cb_f77f0d5b_C1_negated_bare,CONTRADICTED,NOT_ENOUGH_INFORMATION,MISMATCH,0.574813
